serverId,characterId,characterName,level,jobId,jobGrowId,jobName,jobGrowName
cain,30e8deac0dbe711766ec568ff1e0b2f2,독과모래,64,ca0f0e0e9e1d55b5f9955b03d9dd213c,460822c3780a9bc3fbe9485cc89c44a4,격투가(남),천수나한
cain,a9a7109108d3623db15d66290c34ace4,트롱,110,a5ccbaf5538981c6ef99b236c0a60b73,37495b941da3b1661bc900e68ef3b2c6,마법사(남),眞 엘레멘탈 바머
prey,52944aa9773e0a3a93b26ab370fd3015,검소월,110,1645c45aabb008c98406b3a16447040d,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(여),眞 베가본드
prey,eb1186e23d349a6e47c6a59643fb9502,땡조트리스,50,0c1b401bb09241570d364420b3ba3fd7,4a1459a4fa3c7f59b6da2e43382ed0b9,프리스트(여),미스트리스
prey,0952756b603138cf8cafcd9b246a8fbc,채찍후려치자,81,1645c45aabb008c98406b3a16447040d,15ce2751ab9c8302f39636cdb7c3dcfa,귀검사(여),디어사이드
casillas,2e6ae40951316140469dbaea874095c7,트븜랜드,51,b9cb48777665de22c006fabaf9a560b3,981d675414f83b926db5f54e5347eec0,아처,드리머
casillas,04a69c2eb8e05f081de6daa5ce60100a,욕,110,41f1cdc2ff58bb5fdc287be0db2a8df3,37495b941da3b1661bc900e68ef3b2c6,귀검사(남),眞 웨펀마스터
casillas,7be6931e0b3db270e0231e36708f5c64,퍼플크라운,110,41f1cdc2ff58bb5fdc287be0db2a8df3,92da05ec93fb43406e193ffb9a2a629b,귀검사(남),眞 검귀
hilder,da1c51c212999508816c8651125e4859,박테로신연고,75,afdf3b989339de478e85b614d274d1ef,80ec67d0356defa46a989914caca5820,거너(남),레이븐
hilder,98495e70f1442d7c5895c1bb24b2cf73,일도짱,110,afdf3b989339de478e85b614d274d1ef,618326026de1a1f1cfba5dbd0b8396e7,거너(남),眞 런처
anton,2a6b6836690aa531e7641afda3f4180d,뮤지무지,56,b9cb48777665de22c006fabaf9a560b3,4ec01f4ae3728c080f28a72213b6df10,아처,헤드라이너
bakal,0718f07f3d699341084e14a912586616,대충옵티란뜻,110,944b9aab492c15a8474f96947ceeb9e4,6d459bc74ba73ee4fe5cdc4655400193,거너(여),眞 메카닉
bakal,df2fb8153a7efc662d6b03216f9727c7,배크로가,81,f6a4ad30555b99b499c07835f87ce522,80ec67d0356defa46a989914caca5820,프리스트(남),세인트
anton,15336c23a9170dfdf432a2536d9f9a98,투창하는남자,110,3deb7be5f01953ac8b1ecaa1e25e0420,6d459bc74ba73ee4fe5cdc4655400193,마창사,眞 드래고니안 랜서
anton,6e4d92a009cca02cc61512bf4b2c5fa0,테라캐는팔라,100,0ee8fa5dc525c1a1f23fc6911e921e4a,6d459bc74ba73ee4fe5cdc4655400193,나이트,眞 팔라딘
anton,a26e3002e7e7e7b0367fef70e8640ce4,진세랍,51,0c1b401bb09241570d364420b3ba3fd7,4ec01f4ae3728c080f28a72213b6df10,프리스트(여),에반젤리스트
hilder,b7caf673f918c0ea34b99229a66f7acc,워리어Liam,110,0c1b401bb09241570d364420b3ba3fd7,37495b941da3b1661bc900e68ef3b2c6,프리스트(여),眞 크루세이더
hilder,3c1776b44c07bc0110d77c86f41d20f7,오혜민7,110,944b9aab492c15a8474f96947ceeb9e4,6d459bc74ba73ee4fe5cdc4655400193,거너(여),眞 메카닉
hilder,51bd5759d7cfccb3c437326bfebb8de9,쩔캐리,110,41f1cdc2ff58bb5fdc287be0db2a8df3,c9b492038ee3ca8d27d7004cf58d59f3,귀검사(남),眞 아수라
casillas,10997ce0dbbcc60c6ee3114c90ff8e9f,도궁수,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
casillas,e62e860638d8590d3b8e623479b18d45,블러드트래,100,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
casillas,851828bb6a9d0ac530a2dcd6f37859c2,예주,110,a7a059ebe9e6054c0644b40ef316d6e9,37495b941da3b1661bc900e68ef3b2c6,격투가(여),眞 넨마스터
casillas,841e753d6ecac9d07af81aac074bb5fa,문은하,110,0ee8fa5dc525c1a1f23fc6911e921e4a,6d459bc74ba73ee4fe5cdc4655400193,나이트,眞 팔라딘
casillas,1bb9aa6f32278766dc690773597a3577,워썰,110,afdf3b989339de478e85b614d274d1ef,92da05ec93fb43406e193ffb9a2a629b,거너(남),眞 어썰트
casillas,359baf74adf1697d55ad5cbf648744fb,할렐루라,110,f6a4ad30555b99b499c07835f87ce522,37495b941da3b1661bc900e68ef3b2c6,프리스트(남),眞 크루세이더
casillas,19156592734cea327ed9725a0cce6ab4,피맛좋당,110,41f1cdc2ff58bb5fdc287be0db2a8df3,6d459bc74ba73ee4fe5cdc4655400193,귀검사(남),眞 버서커
casillas,7d0d3e1cbb9317a51fc5ee039ee22256,티버잡아,56,3909d0b188e9c95311399f776e331da5,4ec01f4ae3728c080f28a72213b6df10,마법사(여),아크메이지
casillas,84f24303642bb9acf227d76978d1ae1c,트레쁜,110,b9cb48777665de22c006fabaf9a560b3,618326026de1a1f1cfba5dbd0b8396e7,아처,眞 트래블러
casillas,06f1ec354451fb8609220a40c5e2dfb0,춤추는꽈베기,51,3909d0b188e9c95311399f776e331da5,a59ba19824dc3292b6075e29b3862ad3,마법사(여),인챈트리스
casillas,f709b90f9f0a22b6c2c40c803a091a3a,초딩잼민박살,110,afdf3b989339de478e85b614d274d1ef,37495b941da3b1661bc900e68ef3b2c6,거너(남),眞 레인저
prey,e6178e25c75b51fad0e135fc85debe92,칠판이,110,41f1cdc2ff58bb5fdc287be0db2a8df3,37495b941da3b1661bc900e68ef3b2c6,귀검사(남),眞 웨펀마스터
prey,edd945a2a59851ef7787c5369c05d3de,타국인,110,17e417b31686389eebff6d754c3401ea,0a49d9c8b5e1358efff324e5cb11d41e,다크나이트,眞 다크나이트
prey,d437c3df32e8daf19276ac552d786a47,이슈넨마,110,a7a059ebe9e6054c0644b40ef316d6e9,37495b941da3b1661bc900e68ef3b2c6,격투가(여),眞 넨마스터
prey,d147c61b0b16e4169c4db9007eb845bf,뮤즈클로버,110,b9cb48777665de22c006fabaf9a560b3,37495b941da3b1661bc900e68ef3b2c6,아처,眞 뮤즈
prey,218d4fd06283dc3cc984545b567e2090,인파입니당,110,f6a4ad30555b99b499c07835f87ce522,618326026de1a1f1cfba5dbd0b8396e7,프리스트(남),眞 인파이터
prey,0843b5169d77fb7c9efd379d62c1e246,전투사격,110,afdf3b989339de478e85b614d274d1ef,37495b941da3b1661bc900e68ef3b2c6,거너(남),眞 레인저
prey,a25d3ca1c74260122e0eca882b35c13f,이그리짝퉁,110,41f1cdc2ff58bb5fdc287be0db2a8df3,92da05ec93fb43406e193ffb9a2a629b,귀검사(남),眞 검귀
prey,c6f9476eec40ba8f94e4f9061c98998a,앤마이아,110,1645c45aabb008c98406b3a16447040d,92da05ec93fb43406e193ffb9a2a629b,귀검사(여),眞 블레이드
prey,c08c4ff7ace37e200eb1f0635c108f76,뮤즈딸내미,110,b9cb48777665de22c006fabaf9a560b3,37495b941da3b1661bc900e68ef3b2c6,아처,眞 뮤즈
prey,9b7abcdaae49068b6303aa79a2f80ee1,하나비,110,41f1cdc2ff58bb5fdc287be0db2a8df3,6d459bc74ba73ee4fe5cdc4655400193,귀검사(남),眞 버서커
